#mu,eb,a_crit
0.080,0.14,0.240
0.040,0.18,0.224
0.230,0.46,0.081
0.050,0.37,0.122
0.240,0.70,0.039
0.190,0.49,0.073
0.180,0.44,0.087
0.100,0.70,0.043
0.070,0.02,0.434
0.220,0.27,0.132
0.230,0.47,0.077
0.240,0.71,0.038
0.030,0.04,0.446
0.120,0.15,0.215
0.190,0.50,0.073
0.240,0.72,0.035
0.010,0.47,0.111
0.100,0.71,0.041
0.180,0.45,0.084
0.230,0.48,0.074
0.050,0.38,0.120
0.100,0.72,0.039
0.240,0.73,0.034
0.140,0.28,0.137
0.240,0.74,0.033
0.100,0.73,0.037
0.090,0.25,0.158
0.230,0.49,0.072
0.100,0.74,0.036
0.240,0.75,0.033
0.130,0.23,0.163
0.190,0.51,0.073
0.080,0.15,0.232
0.170,0.19,0.177
0.220,0.28,0.131
0.120,0.16,0.210
0.240,0.76,0.031
0.010,0.48,0.111
0.050,0.39,0.114
0.100,0.75,0.034
0.180,0.46,0.081
0.210,0.10,0.226
0.230,0.50,0.070
0.140,0.29,0.135
0.240,0.77,0.030
0.001,0.20,0.528
0.030,0.05,0.442
0.070,0.03,0.418
0.100,0.76,0.033
0.190,0.52,0.069
0.040,0.19,0.211
0.160,0.02,0.364
0.240,0.78,0.028
0.180,0.47,0.080
0.120,0.17,0.203
0.130,0.24,0.157
0.230,0.51,0.070
0.240,0.79,0.027
0.100,0.77,0.032
0.190,0.53,0.068
0.090,0.26,0.155
0.100,0.78,0.030
0.240,0.80,0.026
0.050,0.40,0.113
0.140,0.30,0.130
0.230,0.52,0.068
0.100,0.79,0.028
0.170,0.20,0.172
0.080,0.16,0.222
0.220,0.29,0.125
0.010,0.49,0.107
0.190,0.54,0.066
0.100,0.80,0.027
0.230,0.53,0.066
0.180,0.48,0.078
0.120,0.18,0.191
0.190,0.55,0.064
0.090,0.27,0.153
0.040,0.20,0.204
0.070,0.04,0.412
0.001,0.21,0.504
0.230,0.54,0.064
0.030,0.07,0.420
0.210,0.11,0.219
0.130,0.25,0.155
0.050,0.41,0.109
0.220,0.30,0.121
0.190,0.56,0.061
0.010,0.50,0.104
0.230,0.55,0.061
0.220,0.31,0.119
0.180,0.49,0.078
0.170,0.21,0.168
0.140,0.31,0.130
0.230,0.56,0.060
0.080,0.17,0.214
0.090,0.28,0.145
0.230,0.57,0.059
0.250,0.00,0.355
0.110,0.00,0.416
0.220,0.32,0.115
0.120,0.19,0.190
0.050,0.42,0.109
0.130,0.26,0.147
0.190,0.57,0.060
0.040,0.21,0.197
0.230,0.58,0.058
0.180,0.50,0.075
0.220,0.33,0.112
0.010,0.51,0.099
0.090,0.29,0.141
0.001,0.22,0.501
0.190,0.58,0.059
0.120,0.20,0.180
0.170,0.22,0.163
0.080,0.18,0.205
0.030,0.08,0.420
0.220,0.34,0.108
0.180,0.51,0.071
0.140,0.32,0.125
0.210,0.12,0.210
0.190,0.59,0.058
0.040,0.22,0.191
0.070,0.05,0.409
0.230,0.59,0.055
0.110,0.01,0.415
0.050,0.43,0.101
0.190,0.60,0.055
0.220,0.35,0.105
0.180,0.52,0.070
0.120,0.21,0.175
0.190,0.61,0.054
0.010,0.52,0.094
0.090,0.30,0.138
0.230,0.60,0.053
0.210,0.13,0.202
0.170,0.23,0.155
0.190,0.62,0.053
0.160,0.03,0.309
0.220,0.36,0.106
0.190,0.63,0.052
0.180,0.53,0.069
0.080,0.19,0.199
0.230,0.61,0.052
0.190,0.64,0.049
0.120,0.22,0.170
0.050,0.44,0.101
0.010,0.53,0.091
0.180,0.54,0.066
0.230,0.62,0.050
0.250,0.01,0.353
0.001,0.23,0.500
0.220,0.37,0.103
0.190,0.65,0.048
0.040,0.23,0.189
0.030,0.09,0.420
0.140,0.33,0.119
0.160,0.04,0.307
0.130,0.27,0.145
0.070,0.06,0.351
0.190,0.66,0.047
0.210,0.14,0.196
0.110,0.02,0.410
0.180,0.55,0.064
0.170,0.24,0.151
0.230,0.63,0.050
0.090,0.31,0.133
0.220,0.38,0.100
0.190,0.67,0.044
0.080,0.20,0.193
0.010,0.54,0.088
0.180,0.56,0.062
0.190,0.68,0.042
0.230,0.64,0.047
0.120,0.23,0.164
0.050,0.45,0.100
0.190,0.69,0.042
0.230,0.65,0.046
0.190,0.70,0.040
0.210,0.15,0.194
0.220,0.39,0.094
0.180,0.57,0.060
0.130,0.28,0.140
0.230,0.66,0.045
0.090,0.32,0.130
0.190,0.71,0.038
0.001,0.24,0.499
0.140,0.34,0.116
0.230,0.67,0.043
0.250,0.02,0.329
0.040,0.24,0.181
0.070,0.07,0.349
0.180,0.58,0.059
